pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
Melvoni vs Al-Nuriyah,Melvoni,Al-Nuriyah,justified,-0.9400180432654826,0.15116920687193686,4.0664299215385045e-08,13,79,4.5893562238410335e-07,True
Voskara vs Drethia,Voskara,Drethia,justified,-0.9099415592508003,0.14884619509955466,4.917167382686821e-08,13,79,4.5893562238410335e-07,True
Voskara vs Al-Nuriyah,Voskara,Al-Nuriyah,justified,-0.864726328734859,0.13212793307377452,2.2926601654019542e-08,13,79,4.5893562238410335e-07,True
Melvoni vs Zhaodong,Melvoni,Zhaodong,justified,-0.7002055779612752,0.11363285693954155,4.5009768766589e-08,13,79,4.5893562238410335e-07,True
Voskara vs Zhaodong,Voskara,Zhaodong,justified,-0.6867269514854404,0.12176844054932351,1.2010336170294207e-07,13,79,8.407235319205944e-07,True
Terluna vs Al-Nuriyah,Terluna,Al-Nuriyah,justified,-0.5507669834456971,0.10441363650066215,2.495894353789887e-07,13,79,1.1647506984352806e-06,True
Terluna vs Drethia,Terluna,Drethia,justified,-0.47106794887812414,0.1098661901094331,2.2631041204133344e-06,13,79,8.448922049543115e-06,True
Bretherland vs Zhaodong,Bretherland,Zhaodong,justified,-0.422447053161761,0.11660020073627421,1.2456989976012383e-05,13,79,3.460596758862018e-05,True
Bretherland vs Al-Nuriyah,Bretherland,Al-Nuriyah,justified,-0.41715315964187866,0.12092779273341557,2.011317303209526e-05,13,79,5.103299209068333e-05,True
Terluna vs Zhaodong,Terluna,Zhaodong,justified,-0.375972793769676,0.07061362928457612,2.254597619935555e-07,13,79,1.1477951519671917e-06,True
Voskara vs Bretherland,Voskara,Bretherland,justified,-0.24410487204804399,0.07166608200199154,2.2732371835656038e-05,13,79,5.304220094986409e-05,True
Melvoni vs Bretherland,Melvoni,Bretherland,justified,-0.2150583128059891,0.07778748098443977,0.0001552908966450856,13,79,0.000248465434632137,True
Drethia vs Al-Nuriyah,Drethia,Al-Nuriyah,justified,-0.12774717330055185,0.08474973354652986,0.012045381197088941,13,79,0.01568700807062746,True
Zhaodong vs Al-Nuriyah,Zhaodong,Al-Nuriyah,justified,-0.05809321681558535,0.10167794364895073,0.28469663767771913,13,79,0.3126080727441622,False
Melvoni vs Korvachev,Melvoni,Korvachev,justified,-0.02069024125230099,0.16971596696939412,0.8151798856585301,13,79,0.8300013381250487,False
Terluna vs Bretherland,Terluna,Bretherland,justified,0.021920682485010674,0.09964318914918012,0.6739789455806978,13,79,0.6989411287503532,False
Voskara vs Korvachev,Voskara,Korvachev,justified,0.03331032282761413,0.1027374406116683,0.5370417967616093,13,79,0.57835270420481,False
Voskara vs Melvoni,Voskara,Melvoni,justified,0.0674219999751592,0.09961236593057622,0.20932934254165772,13,79,0.2392335343333231,False
Drethia vs Zhaodong,Drethia,Zhaodong,justified,0.10388074771866734,0.10371397915918527,0.07322848359535408,13,79,0.08725095917744316,False
Bretherland vs Korvachev,Bretherland,Korvachev,justified,0.20558597095080525,0.11573376553897238,0.004532269318639948,13,79,0.0066791337327325555,True
Terluna vs Voskara,Terluna,Voskara,justified,0.23022537414592092,0.06380942209206045,1.2977237845732567e-05,13,79,3.460596758862018e-05,True
